id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,Fiction
PG44,The Song of the Lark,"Cather, Willa",1873.0,1947.0,['en'],160.0,"{'Musical fiction', 'Bildungsromans', 'Opera -- Fiction', 'Swedish Americans -- Fiction', 'Chicago (Ill.) -- Fiction', 'Colorado -- Fiction', 'Young women -- Fiction', 'Children of clergy -- Fiction', 'Women singers -- Fiction'}",Text,1
PG45,Anne of Green Gables,"Montgomery, L. M. (Lucy Maud)",1874.0,1942.0,['en'],6911.0,"{'Islands -- Fiction', 'Bildungsromans', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Country life -- Prince Edward Island -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction', 'Friendship -- Fiction', 'Canada -- History -- 1867-1914 -- Fiction', 'Girls -- Fiction', 'Orphans -- Fiction'}",Text,1
PG46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",1812.0,1870.0,['en'],3631.0,"{'Ghost stories', 'Sick children -- Fiction', 'Scrooge, Ebenezer (Fictitious character) -- Fiction', 'Misers -- Fiction', 'London (England) -- Fiction', 'Poor families -- Fiction', 'Christmas stories'}",Text,1
PG47,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud)",1874.0,1942.0,['en'],2811.0,"{'Islands -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction', 'Canada -- History -- 1914-1945 -- Fiction', 'Teachers -- Fiction', 'Orphans -- Fiction'}",Text,1
PG51,Anne of the Island,"Montgomery, L. M. (Lucy Maud)",1874.0,1942.0,['en'],2899.0,"{'Prince Edward Island -- History -- 20th century -- Fiction', 'Self-perception -- Fiction', 'Universities and colleges -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction', 'Canada -- History -- 1914-1945 -- Fiction', 'Interpersonal relations -- Fiction', 'Nova Scotia -- History -- 20th century -- Fiction', 'Orphans -- Fiction'}",Text,1
PG60,The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness",1865.0,1947.0,['en'],773.0,"{'Blakeney, Percy, Sir (Fictitious character) -- Fiction', 'Nobility -- Fiction', 'British -- France -- Fiction', 'France -- History -- Revolution, 1789-1799 -- Fiction', 'Adventure stories', 'Historical fiction'}",Text,1
PG62,A Princess of Mars,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],1547.0,"{'Dejah Thoris (Fictitious character) -- Fiction', 'Science fiction', 'Mars (Planet) -- Fiction', 'Princesses -- Fiction', 'Carter, John (Fictitious character) -- Fiction'}",Text,1
PG64,The Gods of Mars,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],538.0,"{'Life on other planets -- Fiction', 'Dejah Thoris (Fictitious character) -- Fiction', 'Science fiction', 'Mars (Planet) -- Fiction', 'Carter, John (Fictitious character) -- Fiction'}",Text,1
PG68,Warlord of Mars,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],459.0,"{'Dejah Thoris (Fictitious character) -- Fiction', 'Mars (Planet) -- Fiction', 'Carter, John (Fictitious character) -- Fiction', 'Science fiction'}",Text,1
PG72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice",1875.0,1950.0,['en'],377.0,"{'Martians -- Fiction', 'Mars (Planet) -- Fiction', 'Science fiction'}",Text,1
PG73,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",1871.0,1900.0,['en'],672.0,"{'Virginia -- History -- Civil War, 1861-1865 -- Fiction', 'United States -- History -- Civil War, 1861-1865 -- Fiction', 'War stories', 'Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction', 'Historical fiction'}",Text,1
PG74,The Adventures of Tom Sawyer,"Twain, Mark",1835.0,1910.0,['en'],11645.0,"{'Male friendship -- Fiction', 'Bildungsromans', 'Runaway children -- Fiction', 'Missouri -- Fiction', 'Humorous stories', 'Child witnesses -- Fiction', 'Boys -- Fiction', 'Adventure stories', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Mississippi River Valley -- Fiction'}",Text,1
PG76,Adventures of Huckleberry Finn,"Twain, Mark",1835.0,1910.0,['en'],7685.0,"{'Finn, Huckleberry (Fictitious character) -- Fiction', 'Male friendship -- Fiction', 'Fugitive slaves -- Fiction', 'Bildungsromans', 'Runaway children -- Fiction', 'Missouri -- Fiction', 'Humorous stories', 'Boys -- Fiction', 'Mississippi River -- Fiction', 'Adventure stories', 'Race relations -- Fiction'}",Text,1
PG77,The House of the Seven Gables,"Hawthorne, Nathaniel",1804.0,1864.0,['en'],559.0,"{'Salem (Mass.) -- Fiction', 'Haunted houses -- Fiction', 'Domestic fiction', 'Paranormal fiction', 'Historical fiction'}",Text,1
PG78,Tarzan of the Apes,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],1460.0,"{'Tarzan (Fictitious character) -- Fiction', 'Africa -- Fiction', 'British -- Africa -- Fiction', 'Adventure stories', 'Wild men -- Fiction', 'Fantasy fiction'}",Text,1
PG79,Terminal Compromise,"Schwartau, Winn",,,['en'],21.0,"{'Computer security -- Fiction', 'Didactic fiction', 'Privacy, Right of -- Fiction', 'Records -- Access control -- Fiction'}",Text,1
PG81,The Return of Tarzan,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],477.0,"{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories'}",Text,1
